Authors,Count
Amitav Ghosh,1
Amitava Kumar,1
Amma J. Clay,1
Ammiel Alcalay,1
Amnesty International,1
Amnon Buchbinder,1
Among Friends,1
Amorah,1
Amory B. Lovins,1
Amos Oz,1
Amos Tutuola,1
Amram Tropper,1
Amrei Fechner,1
Ams-IMS-Siam Joint Summer Research Conference,1
Amulya Malladi,1
Amy Ansell,1
Amy Baskin,1
Amy Bloom,1
Amy Dean,1
Amy Dru Stanley,1
Amy E. Dean,1
Amy Ehrlich,1
Amy Einsohn,1
Amy Garvey,1
Amy Gordon,1
Amy Hassinger,1
Amy Hollywood,1
Amy J. Alessio,1
Amy J. Schulz,1
Amy J. Tyler,1
Amy Jean Peters,1
Amy Knight,1
Amy L. Goodman,1
Amy Littlesugar,1
Amy M. Karch,1
Amy M. King,1
Amy M. Wetherby,1
Amy Ng,1
Amy Novesky,1
Amy Reigle Newland,1
Amy Saidens,1
Amy Shuen,1
Amy Sophia Marashinsky,1
Amy Stuart Wells,1
Amy Swerdlow,1
Amy Tan,1
Amy Tolnitch,1
Amy Wallen,1
Amy Whorf McGuiggan,1
Amy Witting,1
Amy Wong,1
Amélie Nothomb,1
Amélie Oksenberg Rorty,1
An Vrombaut,1
Ana Castillo,1
Ana Maria Gonzalez Martin,1
Ana Martín Larrañaga,1
Ana María Matute,1
Ana Roca,1
Ana Veciana-Suarez,1
Ana Y. Ramos-Zayas,1
Ana-Maria Rizzuto,1
Ananda K. Coomaraswamy,1
Anannya Bhattacharjee,1
Anant Pai,1
Ananya Chatterjea,1
Anastas,1
Anatole Katok,1
Anatoli Rybakov,1
Anaïs Nin,1
Anchee Min,1
Anchise Tempestini,1
Anders Gustafsson,1
Anders Pape Møller,1
Andersen Gabrych,1
Andi Goldman,1
Andie Cunningham,1
Andras Horvath,1
Andre Norton,1
Andrea  Barrett,1
Andrea Ashworth,1
Andrea B. Geffner,1
Andrea Badenoch,1
Andrea Barnet,1
Andrea Barrett,1
Andrea Boeshaar,1
Andrea Brodbeck,1
Andrea Buckless,1
Andrea Codrington,1
Andrea Davis Pinkney,1
Andrea DeCapua,1
Andrea Demarchi,1
Andrea Dworkin,1
Andrea J. Stone,1
Andrea J. Sutcliffe,1
Andrea Kane,1
Andrea Kettenmann,1
Andrea Lauterwein,1
Andrea Levy,1
Andrea Mandel-Campbell,1
Andrea Mattei,1
Andrea O'Reilly Herrera,1
Andrea Palladio,1
Andrea Peyser,1
Andrea Pickens,1
Andrea Posner-Sanchez,1
Andrea Prencipe,1
Andrea Pritchard,1
Andrea Rodriguez Vidal,1
Andrea Roe,1
Andrea Rotondo Hospidor,1
Andrea Schulte-Peevers,1
Andrea Staskowski,1
Andrea Sutcliffe,1
Andrea T. Levy,1
Andrea Utley,1
Andreas Deutsch,1
Andreas Graeser,1
Andreas Hapkemeyer,1
Andreas Michaelis,1
Andreas Schreiner,1
Andreas Volwahsen,1
Andreas Wolf,1
Andrei B. Nakov,1
Andrei Bogomolov,1
Andrei Codrescu,1
Andrei Postoaca,1
Andrei Sinyavsky,1
Andreu Mas-Colell,1
Andrew    Simmons,1
Andrew   Cohen,1
Andrew   Collins,1
Andrew  Collins,1
Andrew  Taylor,1
Andrew A.  Campbell,1
Andrew Apostoli,1
Andrew B. Smith,1
Andrew Barlow,1
Andrew Barnett,1
Andrew Bolton,1
Andrew Borsari,1
Andrew Brown-May,1
Andrew Burrows,1
Andrew Burstein,1
Andrew C. Novick,1
Andrew Carnie,1
Andrew Charles,1
Andrew Christensen,1
Andrew Clements,1
Andrew Coburn,1
Andrew Cohen,1
Andrew Crumey,1
Andrew D. Radford,1
